rt,trial_type,trial_index,time_elapsed,SubjectID,stimulus,button_pressed,PartExperiment
2369,button-response,14,171666,0r2g5ss083g6ath2hnerzhz6t70zadq4,Sicht,0,GermanArticles
3889,button-response,15,175613,0r2g5ss083g6ath2hnerzhz6t70zadq4,Deich,1,GermanArticles
1617,button-response,16,177288,0r2g5ss083g6ath2hnerzhz6t70zadq4,Licht,0,GermanArticles
1553,button-response,17,178895,0r2g5ss083g6ath2hnerzhz6t70zadq4,Kunst,1,GermanArticles
3496,button-response,18,182445,0r2g5ss083g6ath2hnerzhz6t70zadq4,Berg,0,GermanArticles
1533,button-response,19,184031,0r2g5ss083g6ath2hnerzhz6t70zadq4,Kinn,0,GermanArticles
1705,button-response,20,185794,0r2g5ss083g6ath2hnerzhz6t70zadq4,Hemd,0,GermanArticles
2960,button-response,21,188812,0r2g5ss083g6ath2hnerzhz6t70zadq4,Baum,1,GermanArticles
6178,button-response,22,195049,0r2g5ss083g6ath2hnerzhz6t70zadq4,Tür,0,GermanArticles
2900,button-response,23,198007,0r2g5ss083g6ath2hnerzhz6t70zadq4,Stadt,1,GermanArticles
6535,button-response,24,204599,0r2g5ss083g6ath2hnerzhz6t70zadq4,Wurst,2,GermanArticles
2415,button-response,25,207072,0r2g5ss083g6ath2hnerzhz6t70zadq4,Nacht,0,GermanArticles
1978,button-response,26,209106,0r2g5ss083g6ath2hnerzhz6t70zadq4,Chor,0,GermanArticles
5848,button-response,27,215009,0r2g5ss083g6ath2hnerzhz6t70zadq4,Platz,2,GermanArticles
3786,button-response,28,218853,0r2g5ss083g6ath2hnerzhz6t70zadq4,Schaum,2,GermanArticles
2680,button-response,29,221590,0r2g5ss083g6ath2hnerzhz6t70zadq4,Brot,0,GermanArticles
4501,button-response,30,226149,0r2g5ss083g6ath2hnerzhz6t70zadq4,Pflicht,0,GermanArticles
2965,button-response,31,229170,0r2g5ss083g6ath2hnerzhz6t70zadq4,Tour,2,GermanArticles
2840,button-response,32,232068,0r2g5ss083g6ath2hnerzhz6t70zadq4,Stern,1,GermanArticles
2525,button-response,33,234652,0r2g5ss083g6ath2hnerzhz6t70zadq4,Knie,0,GermanArticles
4962,button-response,34,239673,0r2g5ss083g6ath2hnerzhz6t70zadq4,Glut,2,GermanArticles
3719,button-response,35,243446,0r2g5ss083g6ath2hnerzhz6t70zadq4,Saal,0,GermanArticles
3752,button-response,36,247254,0r2g5ss083g6ath2hnerzhz6t70zadq4,Front,0,GermanArticles
1466,button-response,37,248775,0r2g5ss083g6ath2hnerzhz6t70zadq4,Beil,0,GermanArticles
2627,button-response,38,251460,0r2g5ss083g6ath2hnerzhz6t70zadq4,Preis,2,GermanArticles
3072,button-response,39,254591,0r2g5ss083g6ath2hnerzhz6t70zadq4,Park,0,GermanArticles
1681,button-response,40,256326,0r2g5ss083g6ath2hnerzhz6t70zadq4,Strand,1,GermanArticles
2495,button-response,41,258879,0r2g5ss083g6ath2hnerzhz6t70zadq4,Frucht,0,GermanArticles
2142,button-response,42,261079,0r2g5ss083g6ath2hnerzhz6t70zadq4,Boot,1,GermanArticles
1653,button-response,43,262787,0r2g5ss083g6ath2hnerzhz6t70zadq4,Quiz,0,GermanArticles
6029,button-response,44,268873,0r2g5ss083g6ath2hnerzhz6t70zadq4,Ohr,0,GermanArticles
4477,button-response,45,273406,0r2g5ss083g6ath2hnerzhz6t70zadq4,Schiff,1,GermanArticles
22509,button-response,47,342132,0r2g5ss083g6ath2hnerzhz6t70zadq4,ne mand,0,DutchArticlesUsual
6903,button-response,48,349091,0r2g5ss083g6ath2hnerzhz6t70zadq4,het rol,2,DutchArticlesUsual
4809,button-response,49,353958,0r2g5ss083g6ath2hnerzhz6t70zadq4,de hart,2,DutchArticlesUsual
6066,button-response,50,360082,0r2g5ss083g6ath2hnerzhz6t70zadq4,het fiets,2,DutchArticlesUsual
3086,button-response,51,363226,0r2g5ss083g6ath2hnerzhz6t70zadq4,het jaar,0,DutchArticlesUsual
2352,button-response,52,365634,0r2g5ss083g6ath2hnerzhz6t70zadq4,de trein,0,DutchArticlesUsual
6630,button-response,53,372322,0r2g5ss083g6ath2hnerzhz6t70zadq4,ne gloed,0,DutchArticlesUsual
21988,button-response,54,394367,0r2g5ss083g6ath2hnerzhz6t70zadq4,de koek,1,DutchArticlesUsual
4363,button-response,55,398787,0r2g5ss083g6ath2hnerzhz6t70zadq4,het film,2,DutchArticlesUsual
2563,button-response,56,401404,0r2g5ss083g6ath2hnerzhz6t70zadq4,het stuk,0,DutchArticlesUsual
2460,button-response,57,403922,0r2g5ss083g6ath2hnerzhz6t70zadq4,de vuur,2,DutchArticlesUsual
3783,button-response,58,407763,0r2g5ss083g6ath2hnerzhz6t70zadq4,ne stap,0,DutchArticlesUsual
1771,button-response,59,409592,0r2g5ss083g6ath2hnerzhz6t70zadq4,het maand,2,DutchArticlesUsual
11501,button-response,60,421151,0r2g5ss083g6ath2hnerzhz6t70zadq4,ne kin,1,DutchArticlesUsual
2137,button-response,61,423343,0r2g5ss083g6ath2hnerzhz6t70zadq4,het stoel,2,DutchArticlesUsual
6164,button-response,62,429565,0r2g5ss083g6ath2hnerzhz6t70zadq4,ne knie,0,DutchArticlesUsual
2534,button-response,63,432157,0r2g5ss083g6ath2hnerzhz6t70zadq4,de beeld,2,DutchArticlesUsual
1929,button-response,64,434144,0r2g5ss083g6ath2hnerzhz6t70zadq4,het veld,0,DutchArticlesUsual
2030,button-response,65,436232,0r2g5ss083g6ath2hnerzhz6t70zadq4,de naam,0,DutchArticlesUsual
5686,button-response,66,441976,0r2g5ss083g6ath2hnerzhz6t70zadq4,de werk,2,DutchArticlesUsual
1939,button-response,67,443973,0r2g5ss083g6ath2hnerzhz6t70zadq4,de ding,2,DutchArticlesUsual
1450,button-response,68,445481,0r2g5ss083g6ath2hnerzhz6t70zadq4,het huis,0,DutchArticlesUsual
1376,button-response,69,446916,0r2g5ss083g6ath2hnerzhz6t70zadq4,het woord,0,DutchArticlesUsual
6831,button-response,70,453805,0r2g5ss083g6ath2hnerzhz6t70zadq4,de speld,2,DutchArticlesUsual
2323,button-response,71,456185,0r2g5ss083g6ath2hnerzhz6t70zadq4,nen bijl,1,DutchArticlesUsual
1854,button-response,72,458097,0r2g5ss083g6ath2hnerzhz6t70zadq4,ne stad,0,DutchArticlesUsual
8716,button-response,73,466869,0r2g5ss083g6ath2hnerzhz6t70zadq4,ne plicht,2,DutchArticlesUsual
1652,button-response,74,468577,0r2g5ss083g6ath2hnerzhz6t70zadq4,ne zaal,2,DutchArticlesUsual
1934,button-response,75,470567,0r2g5ss083g6ath2hnerzhz6t70zadq4,ne poort,2,DutchArticlesUsual
